unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.68E+12,13-05-2023,BTC,26812,27043.23,26704.39,26782.72,219.465684,5877887.965
1.68E+12,12-05-2023,BTC,26995.01,27084.1,25818,26812,794.7950696,21310045.41
1.68E+12,11-05-2023,BTC,27617.75,27711.5,26723.39,26995.01,426.9131459,11524524.64
1.68E+12,10-05-2023,BTC,27648.34,28332.03,26817.83,27617.75,567.9978753,15686823.32
1.68E+12,09-05-2023,BTC,27692.9,27828.77,27376.52,27648.34,401.3465338,11096565.42
1.68E+12,08-05-2023,BTC,28437.03,28664.12,27300,27692.9,515.2780947,14269544.75
1.68E+12,07-05-2023,BTC,28899.81,29200.3,28434.18,28437.03,104.549636,2973081.136
1.68E+12,06-05-2023,BTC,29537.6,29847.7,28394.1,28899.81,234.2140339,6768741.079
1.68E+12,05-05-2023,BTC,28846.43,29691.89,28820.88,29537.6,518.7545577,15322764.62
1.68E+12,04-05-2023,BTC,29021.44,29350.08,28681.6,28846.43,304.8977224,8795210.806
1.68E+12,03-05-2023,BTC,28677.24,29254.54,28137.58,29021.44,478.7951682,13895325.25
1.68E+12,02-05-2023,BTC,28109.71,28899.02,27881.86,28677.24,383.9011522,11009225.48
1.68E+12,01-05-2023,BTC,29241.04,29342.17,27680.68,28109.71,737.9451919,20743425.34
1.68E+12,30-04-2023,BTC,29247.28,29956.39,29120.8,29241.04,282.2730979,8253958.946
1.68E+12,29-04-2023,BTC,29341.78,29460,29065.53,29247.28,116.8825929,3418497.923
1.68E+12,28-04-2023,BTC,29479.05,29614.84,28917.02,29341.78,211.7197503,6212234.336
1.68E+12,27-04-2023,BTC,28421.91,29880.71,28387.03,29479.05,368.4516545,10861604.75
1.68E+12,26-04-2023,BTC,28301.98,30015.08,27216.49,28421.91,848.3461496,24111617.91
1.68E+12,25-04-2023,BTC,27510.9,28400,27201,28301.98,282.2955953,7989524.291
1.68E+12,24-04-2023,BTC,27582.73,27993.9,26947.32,27510.9,432.2579949,11891806.47
1.68E+12,23-04-2023,BTC,27818.97,27819.87,27350,27582.73,180.360434,4974833.154
1.68E+12,22-04-2023,BTC,27244.77,27886.42,26999,27818.97,326.0320201,9069874.985
1.68E+12,21-04-2023,BTC,28200,28381.69,27132.54,27244.77,670.6202472,18270894.39
1.68E+12,20-04-2023,BTC,28814.64,29091.26,27932,28200,446.6506631,12595548.7
1.68E+12,19-04-2023,BTC,30374.65,30420,28573,28814.64,523.5673016,15086403.31
1.68E+12,18-04-2023,BTC,29441.89,30451.68,29111,30374.65,480.3145846,14589387.4
1.68E+12,17-04-2023,BTC,30307.98,30329.49,29250,29441.89,385.4336181,11347894.18
1.68E+12,16-04-2023,BTC,30300.91,30534.81,30144.76,30307.98,156.2196147,4734700.959
1.68E+12,15-04-2023,BTC,30484.98,30609,30245.75,30300.91,128.32,3888212.771
1.68E+12,14-04-2023,BTC,30412.51,31069.93,30011.01,30484.98,479.0495914,14603817.21
1.68E+12,13-04-2023,BTC,29903.38,30621.89,29897.76,30412.51,397.0914777,12076548.54
1.68E+12,12-04-2023,BTC,30241.58,30799,29694.63,29903.38,437.9306212,13095605.78
1.68E+12,11-04-2023,BTC,29654.49,30592.6,29654,30241.58,483.8153907,14631341.84
